season	episode	anger	death	family	home	humans	negative_affect	positive_affect	religion	sexual	swear
3	10	kill:8,war:3,cut:2,fight:2,attack:2	kill:8,die:4,war:3,dead:2,dying:1	daughter:7,father:7,mother:5,son:4,uncle:4	bed:11,gate:3,family:2,bedding:2,home:2	man:10,men:7,girls:4,girl:4,lady:4	kill:8,war:3,worse:2,wrong:2,lose:2	good:9,like:8,love:6,well:6,please:5	lord:16,hell:2,souls:1	love:6,loved:1,tits:1	hell:2,tits:1,piss:1
4	1	war:6,kill:4,bastard:3,fuck:3,attack:3	dead:6,war:6,die:5,kill:4,murder:3	father:9,brother:8,mother:7,family:6,sister:5	house:6,family:6,home:3,room:2,pillow:1	man:14,lady:13,boy:8,people:8,men:7	war:6,wrong:5,kill:4,lost:3,sad:2	like:25,grace:15,good:11,well:11,better:8	lord:9,pray:1,doom:1,soul:1,sacred:1	love:7,fuck:3,loved:2,whore:2,ass:1	bastard:3,fuck:3,bloody:2,ass:1,bitch:1
4	2	kill:14,poison:3,fight:3,cut:2,fuck:2	kill:14,dead:14,die:8,died:3,alive:2	son:10,father:9,family:6,brother:6,mother:4	family:6,home:5,gate:3,house:2,door:1	men:12,man:8,people:7,boy:6,children:6	kill:14,lost:3,low:3,whore:3,worse:1	grace:14,like:11,well:7,please:6,love:5	mercy:1,sacred:1	love:5,whore:3,loved:2,fuck:2,lover:1	bloody:5,fuck:2,bitch:2,dumb:1,fucked:1
4	3	fight:8,war:8,murder:4,bastard:3,stubborn:2	war:8,murder:4,die:1,alive:1,dead:1	father:19,brother:12,sister:7,daughter:6,son:5	house:3,family:2,pet:2,maid:1,clean:1	lady:17,man:13,child:7,men:5,children:5	war:8,whore:5,shame:4,lose:3,weep:3	grace:22,good:16,love:10,like:10,well:8	lord:31,soul:4,souls:2,sins:2,hells:1	love:10,whore:5,fuck:2,ass:1,loved:1	bastard:3,fuck:2,ass:1,bitch:1,hell:1
4	4	kill:7,fight:7,murder:5,war:4,lying:4	dead:9,kill:7,murder:5,war:4,death:3	father:16,brother:11,son:6,mother:5,family:3	house:11,family:3,room:2,home:2,door:1	man:18,men:13,woman:6,girl:5,boy:4	kill:7,lying:4,war:4,whore:3,lose:3	good:18,like:14,well:11,safe:6,grace:6	lord:23,mercy:1,holy:1,sins:1,bless:1	whore:3,love:2,lover:2,ass:1,fuck:1	bastard:2,ass:1,fuck:1,bloody:1,damn:1
4	5	kill:13,fight:10,fuck:7,bastard:3,cunt:3	kill:13,dead:6,died:3,murder:2,alive:2	brother:8,sister:5,father:5,son:4,mother:4	home:4,door:2,room:1	boy:8,man:8,lady:5,people:4,men:4	kill:13,risk:3,lost:3,vicious:2,wrong:2	like:14,well:9,good:7,safe:7,please:6	lord:9,mercy:1,hell:1,sacred:1	fuck:7,ass:1,kiss:1	fuck:7,bastard:3,cunt:3,bloody:2,bitch:2
4	6	stupid:4,kill:4,wars:3,cut:3,fight:3	dead:7,kill:4,mourn:3,die:2,alive:2	mother:12,father:7,sister:6,brother:6,husband:6	family:3,gate:3,house:1,door:1,clean:1	lady:12,boy:9,men:9,man:8,girls:4	kill:4,wars:3,worse:3,vile:2,difficult:2	like:16,good:9,grace:9,please:7,love:6	lord:15,temple:3,hells:3,hell:1	love:6,loved:4,loves:3,virgin:2,fuck:1	bloody:3,bastard:2,fuck:1,hell:1,cunt:1
4	7	poison:6,kill:5,hated:4,murder:3,wars:3	kill:5,die:4,murder:3,war:3,burial:2	father:17,brother:7,son:6,family:5,wife:5	house:8,family:5,home:3,maid:2,families:1	man:10,men:9,people:6,children:4,child:3	kill:5,wars:3,whore:3,war:3,mad:2	grace:10,like:9,good:6,thank:6,won:6	lord:25,confess:4,mercy:3,temple:2,pray:1	fuck:3,whore:3,loved:2,incest:2,love:2	fuck:3,bastard:2,shit:1
4	8	kill:7,lies:5,fuck:4,evil:4,stupid:3	dead:7,kill:7,die:5,war:2,ghost:1	sister:13,father:9,brother:7,mother:7,aunt:6	door:5,home:4,family:3,gate:2,house:1	lady:13,people:11,man:8,men:7,girl:4	kill:7,lies:5,whore:5,worse:4,hurt:4	like:26,good:10,love:7,better:6,well:6	lord:17,mercy:2,faith:2,sin:1	love:7,whore:5,fuck:4,cock:3,loved:2	fuck:4,bloody:3,cock:3,bastard:1,damn:1
4	9	fought:6,kill:4,fight:4,cut:3,shit:3	die:12,dead:8,kill:4,death:3,slaughter:2	father:9,son:6,aunt:5,uncle:3,sister:2	home:4,door:4,family:2,house:2,garden:2	lady:14,men:11,man:11,boy:8,children:8	shame:4,kill:4,shit:3,sad:2,lies:2	like:10,well:7,happy:5,safe:5,loved:5	lord:25,mercy:1,confess:1,faith:1,hell:1	loved:5,love:4,fuck:2,naked:1,kiss:1	shit:3,damn:3,fuck:2,bloody:2,bitch:2
4	10	kill:14,fight:4,fucked:3,shit:2,cut:1	kill:14,die:6,death:3,dead:1	father:3,wife:2,brother:2,son:1,mother:1	gate:18,room:1,bed:1,homes:1	men:9,man:5,person:4,boys:3,baby:3	kill:14,lose:3,shit:2,difficult:2,lazy:1	won:9,like:8,love:6,well:5,good:3	lord:2,hells:1	love:6,fucked:3,loves:1,whore:1,lover:1	fucked:3,shit:2
5	1	fight:6,attack:3,war:3,shit:3,kill:2	dead:6,death:5,war:3,die:2,alive:2	father:11,brother:5,mother:5,sons:4,family:2	home:2,family:2	men:11,people:10,man:7,lady:4,boys:3	shit:3,war:3,doubt:2,kill:2,whore:2	grace:13,good:12,like:12,free:7,won:5	lord:14,mercy:2,soul:2,pray:1,priest:1	loved:3,whore:2,love:1,fuck:1,virgin:1	shit:3,bastard:1,fuck:1,bloody:1,damn:1
5	2	bitch:9,fucker:7,fight:6,cut:2,cunt:2	die:8,death:2,dying:2,kill:2,dead:2	mother:10,brother:6,father:2,uncle:2,husband:2	home:5,house:2,gate:1,family:1,clean:1	men:6,man:6,people:4,girl:4,lady:3	shame:84,whore:18,sins:3,wrong:2,kill:2	good:12,grace:12,like:7,thank:6,glad:6	lord:6,mercy:3,confess:3,sins:3,holy:2	whore:18,fucker:7,love:4,pussy:1,fuck:1	bitch:9,fucker:7,cunt:2,bloody:2,suck:2
5	3	war:5,kill:4,threat:3,mad:3,bastard:2	death:6,war:5,kill:4,alive:2,murder:2	father:12,mother:10,brother:9,daughter:6,sister:5	family:3,house:2,families:1,door:1,home:1	man:16,lady:16,people:14,men:7,girl:7	war:5,kill:4,mad:3,lies:2,whore:2	grace:22,like:17,good:12,better:8,thank:7	lord:12,mercy:3	love:5,loved:2,whore:2,lover:1	bastard:2,cunt:1,shit:1
5	4	fight:4,insult:3,bastard:2,assault:2,stubborn:1	dead:3,die:2,alive:2,plague:1,war:1	father:9,mother:9,family:6,son:5,brother:4	family:6,home:6,house:2,room:1,sweep:1	man:21,men:11,girl:9,boy:5,people:3	lose:4,hurt:4,insult:3,ruin:2,wrong:2	well:14,like:13,good:12,thank:8,best:6	lord:24,faith:6,mercy:3,sacred:2,priest:1	love:5,loved:1,fuck:1,naked:1,virgin:1	bastard:2,arse:1,fuck:1,suck:1,cock:1
5	5	fight:6,war:6,bastard:3,fuck:3,shit:3	die:6,war:6,death:3,dead:2,kill:1	father:15,brother:8,sister:5,family:5,mother:5	house:5,family:5,home:4,garden:1	men:14,people:9,boy:7,lady:5,man:5	war:6,shit:3,revenge:2,wars:2,wrong:2	like:11,good:9,well:8,won:5,faith:5	lord:13,faith:5,holy:2,hell:2,souls:1	love:3,fuck:3,loved:2,fucker:2,ass:1	bastard:3,fuck:3,shit:3,fucker:2,hell:2
5	6	fight:4,kill:4,cut:3,enemy:2,trick:2	death:7,die:4,kill:4,dead:3,died:3	mother:9,father:6,family:5,son:4,brother:2	family:5,home:3,families:1,room:1,sweep:1	men:15,people:14,lady:11,man:7,boy:5	kill:4,doom:3,enemy:2,wrong:2,worse:1	like:15,grace:12,good:8,better:8,thank:7	lord:9,doom:3,mercy:1	love:1	bastard:1
5	7	fight:8,liar:4,kill:3,hated:3,stupid:3	died:3,kill:3,alive:2,war:2,murder:1	father:15,brother:8,wife:6,son:6,daughter:5	house:11,family:4,home:4,bath:2,families:1	man:11,girl:10,woman:8,men:8,lady:8	liar:4,hurt:3,kill:3,lose:3,war:2	like:13,well:11,good:10,grace:7,great:6	lord:14,faith:6,holy:1,doom:1,veil:1	cock:5,loved:3,loves:3,virgin:2,love:1	cock:5,bastard:2,fuck:1,shit:1,bloody:1
5	8	fight:7,bastard:4,lies:3,kill:3,bitch:2	die:4,death:3,kill:3,died:3,war:2	brother:12,wife:6,family:5,son:4,mother:4	house:6,family:5,home:4,room:2,window:2	man:13,lady:9,men:8,people:7,woman:6	lost:4,lies:3,kill:3,worse:2,war:2	great:11,like:10,well:8,love:7,thank:7	lord:11,faith:3,sacred:3,mercy:2,chapel:2	love:7,kiss:4,ass:1,fuck:1,lover:1	bastard:4,bitch:2,ass:1,fuck:1,bloody:1
5	9	fight:10,kill:8,war:5,cut:3,fuck:3	kill:8,die:5,dead:5,war:5,alive:3	father:9,family:4,son:3,brother:2,uncle:2	family:4,house:3,home:3,gate:2	man:24,people:10,men:6,girl:5,children:5	kill:8,war:5,enemy:2,lost:2,loses:2	good:13,trust:10,well:9,won:7,grace:6	confess:7,lord:5,faith:1,belief:1,mercy:1	fuck:3,love:1,incest:1,cock:1	fuck:3,bloody:1,damn:1,suck:1,cock:1
5	10	fought:3,kill:3,war:3,fight:2,hell:2	die:3,kill:3,dead:3,war:3,death:2	father:17,mother:14,daughter:3,sister:2,family:2	family:2,home:1,room:1,house:1	man:15,girl:10,men:9,people:5,boy:4	kill:3,war:3,enemy:1,disaster:1,lost:1	please:27,good:11,grace:8,like:7,love:6	lord:11,hell:2,mercy:2,faith:1	love:6,slut:1,cock:1,kiss:1,fucker:1	hell:2,dumb:1,cock:1,shit:1,fucker:1
6	1	fight:4,fuck:3,enemy:1,murder:1,liar:1	die:6,dead:4,died:2,alive:2,slaughter:1	brother:3,mother:3,daughter:2,son:2,sons:2	door:2,room:2,family:1	men:14,man:14,people:5,boy:4,woman:4	sin:4,weak:2,hurt:2,shame:2,wrong:2	like:16,won:6,good:6,well:4,love:3	lord:8,sin:4,confess:3,sacred:2,hells:1	love:3,fuck:3,cock:1	fuck:3,bloody:1,cock:1,bitch:1
6	2	war:9,fight:5,fuck:4,bastard:2,mocked:2	war:9,die:7,died:5,dying:3,alive:3	father:9,mother:7,brother:6,son:5,family:4	house:11,family:4,room:3,home:1	people:4,men:4,girl:4,lady:4,man:4	war:9,wrong:8,shame:3,worse:2,enemy:1	good:19,ready:6,great:6,grace:5,well:5	lord:19,confess:5,belief:2,faith:2,mercy:1	fuck:4,love:3,loves:2,loved:1,lover:1	fuck:4,bastard:2,cunt:2,damn:1,bloody:1
6	3	fight:5,war:4,fuck:2,cut:2,mad:2	dead:7,die:6,war:4,died:4,death:1	mother:11,father:10,brother:9,sister:2,family:2	house:3,door:2,family:2,home:2,window:1	men:9,man:8,girl:7,lady:7,boy:3	lost:5,war:4,shy:2,wrong:2,mad:2	like:11,well:7,won:5,grace:5,truth:5	lord:18,mercy:3,holy:1,faith:1,pray:1	fuck:2,ass:1,cock:1,tits:1,whore:1	fuck:2,ass:1,bastard:1,cock:1,tits:1
6	4	fight:5,kill:4,mad:4,murder:3,shit:2	dead:6,kill:4,murder:3,died:2,dying:1	father:19,mother:16,sons:4,sister:3,son:3	house:4,family:2,home:2,room:1,rooms:1	girl:7,man:6,people:5,women:4,boy:3	kill:4,mad:4,wrong:2,sins:2,destroy:2	good:10,won:8,better:7,like:7,well:6	lord:12,faith:3,sins:2,pray:1	naked:2,love:2,fuck:2	bastard:2,shit:2,cunt:2,fuck:2
6	5	fight:6,bastard:3,enemy:2,murder:2,shit:2	dead:6,died:5,murder:2,die:2,war:2	brother:8,father:6,mother:6,family:5,son:2	home:8,family:5,gate:3,house:2,door:2	men:10,man:10,people:7,lady:3,children:3	lies:2,shit:2,disappoint:2,sins:2,enemy:2	good:10,trust:10,fine:8,respect:6,peace:5	lord:15,sins:2,faith:1,sin:1,sacred:1	ass:1,tits:1,whore:1,raping:1	bastard:3,shit:2,ass:1,cunt:1,tits:1
6	6	war:4,cut:3,fight:3,murder:2,enemy:1	die:10,dead:4,war:4,murder:2,death:1	father:12,brother:5,uncle:5,son:4,family:3	door:31,home:4,family:3,gate:2,homes:1	lady:11,men:10,girl:10,man:9,people:8	war:4,risk:2,sins:2,enemy:1,lost:1	good:12,like:10,great:7,well:7,love:5	lord:9,bless:3,sins:2,mercy:1,sacred:1	love:5,cock:3,loved:1,dick:1,fuck:1	cock:3,bloody:2,dick:1,fuck:1
6	7	kill:6,bastard:3,lies:2,attack:2,stupid:2	kill:6,die:5,dead:5,death:1,grief:1	father:15,son:9,mother:8,family:5,sister:3	house:6,family:5,home:2,bath:1	people:8,men:5,person:5,boy:4,man:4	kill:6,lost:4,sins:3,whore:3,lose:3	good:14,well:8,better:7,like:6,sweet:5	lord:8,faith:4,mercy:4,sins:3,holy:2	love:4,loved:3,whore:3,tits:1,naked:1	bastard:3,bloody:3,shit:2,damn:1,tits:1
6	8	fight:14,war:7,kill:6,cut:5,fuck:5	war:7,kill:6,dead:5,die:4,death:2	brother:7,son:7,mother:7,father:4,uncle:4	house:19,home:6,family:2,bed:1	lady:14,men:13,man:10,people:9,woman:6	war:7,lost:6,kill:6,shit:2,shame:2	like:13,great:7,good:7,love:6,won:5	lord:8,faith:4,mercy:3,pray:2,confess:1	love:6,fuck:5,ass:2,loved:1,fucker:1	fuck:5,ass:2,shit:2,fucker:1,tits:1
6	9	fuck:10,fight:10,kill:3,shit:3,hell:2	die:5,dead:4,kill:3,murder:2,war:2	son:8,family:5,sister:4,father:4,mother:3	home:11,family:5,yard:1,room:1,house:1	lady:10,man:9,men:5,child:5,girl:4	wrong:3,kill:3,shit:3,worst:2,war:2	like:16,good:12,grace:7,joke:7,better:6	lord:19,faith:3,hell:2,priest:1,heaven:1	fuck:10,love:4,whore:2,loved:1,pussy:1	fuck:10,bloody:4,shit:3,hell:2,cunt:2
6	10	fight:11,bastard:4,kill:3,murder:3,war:2	die:8,murder:3,kill:3,alive:2,war:2	father:5,brother:5,uncle:2,sister:1,families:1	house:3,home:3,families:1,bed:1,gate:1	men:12,man:10,people:9,woman:3,lady:2	worse:4,kill:3,wrong:2,war:2,enemy:1	well:11,like:10,good:7,won:7,support:3	lord:5,souls:1,mercy:1	loved:3,cock:1,raping:1,love:1,fuck:1	bastard:4,cunt:2,cock:1,fuck:1,piss:1
